Income,Tax,Effective Rate,Marginal Rate
72500,18559.418,0.25599197,0.379
72600,18597.318,0.25616142,0.379
72700,18635.219,0.25633037,0.379
72800,18673.12,0.2564989,0.379
72900,18711.018,0.2566669,0.379
73000,18748.918,0.2568345,0.379
73100,18786.818,0.2570016,0.379
73200,18824.719,0.2571683,0.379
73300,18862.62,0.2573345,0.379
73400,18900.518,0.25750023,0.379
73500,18938.418,0.25766554,0.379
73600,18976.318,0.2578304,0.379
73700,19014.219,0.25799483,0.379
73800,19052.12,0.2581588,0.379
73900,19090.018,0.2583223,0.379
74000,19127.918,0.25848538,0.379
74100,19165.818,0.258648,0.379
74200,19203.719,0.25881022,0.379
74300,19241.62,0.258972,0.379
74400,19279.52,0.25913334,0.379
74500,19317.418,0.2592942,0.379
74600,19355.32,0.2594547,0.379
74700,19393.219,0.2596147,0.379
